FSR,IR
126.00,121.00
121.00,122.00
122.00,122.00
114.00,121.00
110.00,121.00
96.00,171.00
108.00,121.00
112.00,121.00
118.00,122.00
148.00,121.00
175.00,124.00
178.00,121.00
196.00,121.00
203.00,124.00
216.00,122.00
229.00,122.00
224.00,186.00
247.00,121.00
254.00,121.00
258.00,171.00
276.00,122.00
286.00,122.00
291.00,104.00
294.00,121.00
303.00,122.00
305.00,122.00
316.00,122.00
330.00,123.00
329.00,122.00
328.00,121.00
324.00,125.00
332.00,125.00
337.00,126.00
332.00,175.00
342.00,121.00
345.00,121.00
345.00,168.00
348.00,125.00
349.00,125.00
350.00,120.00
351.00,125.00
358.00,127.00
356.00,125.00
355.00,125.00
357.00,126.00
357.00,126.00
358.00,125.00
338.00,191.00
354.00,125.00
356.00,125.00
357.00,126.00
359.00,126.00
361.00,126.00
359.00,106.00
361.00,125.00
363.00,127.00
365.00,126.00
365.00,126.00
367.00,127.00
365.00,125.00
365.00,125.00
359.00,131.00
365.00,125.00
363.00,126.00
356.00,175.00
359.00,125.00
357.00,126.00
359.00,172.00
358.00,126.00
363.00,126.00
361.00,120.00
361.00,126.00
363.00,126.00
358.00,125.00
358.00,125.00
355.00,130.00
355.00,125.00
354.00,125.00
349.00,191.00
352.00,125.00
351.00,125.00
348.00,173.00
347.00,125.00
349.00,127.00
350.00,106.00
347.00,125.00
344.00,125.00
343.00,125.00
345.00,125.00
349.00,127.00
347.00,125.00
344.00,125.00
349.00,126.00
347.00,126.00
347.00,126.00
338.00,189.00
346.00,125.00
350.00,125.00
348.00,125.00
349.00,125.00
351.00,125.00
348.00,108.00
351.00,125.00
349.00,126.00
349.00,126.00
351.00,125.00
353.00,127.00
349.00,125.00
349.00,125.00
347.00,130.00
351.00,125.00
352.00,126.00
344.00,189.00
353.00,125.00
352.00,125.00
352.00,173.00
351.00,125.00
354.00,126.00
353.00,108.00
354.00,125.00
354.00,126.00
351.00,124.00
352.00,125.00
351.00,126.00
350.00,125.00
353.00,125.00
349.00,130.00
352.00,125.00
353.00,125.00
354.00,126.00
354.00,125.00
353.00,125.00
352.00,172.00
354.00,125.00
354.00,125.00
355.00,125.00
354.00,125.00
356.00,126.00
356.00,125.00
356.00,125.00
354.00,125.00
358.00,126.00
352.00,126.00
350.00,127.00
356.00,125.00
354.00,125.00
355.00,125.00
355.00,126.00
355.00,126.00
350.00,171.00
345.00,125.00
344.00,125.00
340.00,125.00
340.00,126.00
337.00,126.00
336.00,125.00
333.00,125.00
335.00,127.00
327.00,125.00
319.00,125.00
314.00,130.00
313.00,125.00
311.00,125.00
302.00,185.00
310.00,125.00
311.00,126.00
309.00,166.00
310.00,121.00
314.00,122.00
309.00,106.00
306.00,125.00
303.00,126.00
302.00,125.00
306.00,121.00
306.00,122.00
300.00,125.00
301.00,121.00
300.00,121.00
300.00,121.00
296.00,121.00
288.00,185.00
287.00,121.00
287.00,121.00
280.00,121.00
281.00,121.00
282.00,121.00
281.00,104.00
281.00,121.00
283.00,122.00
282.00,122.00
284.00,121.00
287.00,122.00
275.00,121.00
269.00,121.00
263.00,125.00
256.00,122.00
252.00,122.00
238.00,185.00
248.00,121.00
245.00,121.00
232.00,171.00
231.00,122.00
231.00,121.00
225.00,104.00
219.00,121.00
214.00,123.00
215.00,120.00
210.00,121.00
226.00,122.00
213.00,121.00
214.00,122.00
213.00,127.00
211.00,121.00
211.00,121.00
194.00,184.00
210.00,121.00
207.00,122.00
202.00,168.00
